Место,Команда,1,2,3,4,5,6,7,8,9,Итого
1,Мистер Лапка,8,10,7,8,10,10,4,7,22,86
2,Котики Гриффиндора,7,6,4,5,5,"5,5",5,4,20,"61,5"
3,Недоехавшие до Хогвартса,2,4,4,3,6,"7,5",8,4,19,"57,5"
4,Слабоумие и отвага,4,5,5,6,8,4,7,3,9,51
5,Адепты сливочного пива,4,5,5,5,6,7,4,3,9,48
6,Крестный Пипец,4,7,3,5,5,"5,5",5,4,6,"44,5"
7,Феликс Фелицис,4,3,2,4,5,1,8,4,8,39
8,Команда Шпрота,2,2,1,1,4,"0,5",4,3,2,"19,5"
9,Dumbledore's Army of Lovers,2,1,2,3,2,"1,5",3,1,1,"16,5"
10,Влада,2,1,0,3,2,1,2,3,1,15
11,Ещё по одной,1,0,0,0,2,"0,5",4,3,3,"13,5"
12,Always,1,2,1,1,1,0,1,0,3,10
13,,,,,,,,,,,0
14,,,,,,,,,,,0
15,,,,,,,,,,,0
16,,,,,,,,,,,0
17,,,,,,,,,,,0
18,,,,,,,,,,,0
19,,,,,,,,,,,0
20,,,,,,,,,,,0
21,,,,,,,,,,,0
22,,,,,,,,,,,0
23,,,,,,,,,,,0
24,,,,,,,,,,,0
25,,,,,,,,,,,0
26,,,,,,,,,,,0
27,,,,,,,,,,,0
28,,,,,,,,,,,0
29,,,,,,,,,,,0
30,,,,,,,,,,,0
31,,,,,,,,,,,0
32,,,,,,,,,,,0
33,,,,,,,,,,,0
34,,,,,,,,,,,0
35,,,,,,,,,,,0
36,,,,,,,,,,,0
37,,,,,,,,,,,0
38,,,,,,,,,,,0
39,,,,,,,,,,,0
40,,,,,,,,,,,0
41,,,,,,,,,,,0
42,,,,,,,,,,,0
43,,,,,,,,,,,0
44,,,,,,,,,,,0
45,,,,,,,,,,,0